Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\XRF Scan 2 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:51:36 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
980,19.58,15
981,19.6,15
982,19.62,6
983,19.64,17
984,19.66,16
985,19.68,15
986,19.7,22
987,19.72,24
988,19.74,12
989,19.76,19
990,19.78,9
991,19.8,14
992,19.82,19
993,19.84,12
994,19.86,10
995,19.88,23
996,19.9,21
997,19.92,20
998,19.94,20
999,19.96,22
1000,19.98,24
1001,20,30
1002,20.02,32
1003,20.04,30
1004,20.06,50
1005,20.08,38
1006,20.1,43
1007,20.12,45
1008,20.14,46
1009,20.16,38
1010,20.18,35
1011,20.2,50
1012,20.22,41
1013,20.24,33
1014,20.26,35
1015,20.28,32
1016,20.3,34
1017,20.32,29
1018,20.34,29
1019,20.36,23
1020,20.38,22
1021,20.4,18
1022,20.42,14
1023,20.44,21
1024,20.46,11
1025,20.48,15
1026,20.5,13
1027,20.52,11
1028,20.54,5
1029,20.56,10
1030,20.58,10
1031,20.6,12
1032,20.62,8
1033,20.64,8
1034,20.66,9
1035,20.68,10
1036,20.7,7
1037,20.72,13
1038,20.74,5
1039,20.76,11
1040,20.78,6
1041,20.8,7
1042,20.82,13
1043,20.84,2
1044,20.86,7
1045,20.88,10
1046,20.9,10
1047,20.92,8
1048,20.94,9
1049,20.96,6
1050,20.98,5
1051,21,7
1052,21.02,10
1053,21.04,12
1054,21.06,4
1055,21.08,9
1056,21.1,11
1057,21.12,10
1058,21.14,10
1059,21.16,6
1060,21.18,7
1061,21.2,7
1062,21.22,5
1063,21.24,7
1064,21.26,8
1065,21.28,12
1066,21.3,10
1067,21.32,16
1068,21.34,7
1069,21.36,13
1070,21.38,13
1071,21.4,5
1072,21.42,7
1073,21.44,5
1074,21.46,15
1075,21.48,8
1076,21.5,7
1077,21.52,5
1078,21.54,13
1079,21.56,8
1080,21.58,7
1081,21.6,10
1082,21.62,7
1083,21.64,4
1084,21.66,8
1085,21.68,12
1086,21.7,5
1087,21.72,16
1088,21.74,15
1089,21.76,12
1090,21.78,17
1091,21.8,16
1092,21.82,21
1093,21.84,27
1094,21.86,18
1095,21.88,23
1096,21.9,19
1097,21.92,30
1098,21.94,35
1099,21.96,42
1100,21.98,46
1101,22,52
1102,22.02,64
1103,22.04,41
1104,22.06,43
1105,22.08,55
1106,22.1,57
1107,22.12,45
1108,22.14,39
1109,22.16,51
1110,22.18,55
1111,22.2,63
1112,22.22,45
1113,22.24,50
1114,22.26,39
1115,22.28,41
1116,22.3,20
1117,22.32,26
1118,22.34,14
1119,22.36,13
1120,22.38,13
1121,22.4,16
1122,22.42,13
1123,22.44,12
1124,22.46,11
1125,22.48,14
1126,22.5,12
1127,22.52,11
1128,22.54,8
1129,22.56,13
1130,22.58,12
1131,22.6,15
1132,22.62,13
1133,22.64,8
1134,22.66,19
1135,22.68,17
1136,22.7,17
1137,22.72,14
1138,22.74,9
1139,22.76,10
1140,22.78,12
1141,22.8,11
1142,22.82,10
1143,22.84,16
1144,22.86,15
1145,22.88,7
1146,22.9,11
1147,22.92,10
1148,22.94,8
1149,22.96,7
1150,22.98,9
1151,23,9
1152,23.02,4
1153,23.04,6
1154,23.06,8
1155,23.08,9
1156,23.1,6
1157,23.12,7
1158,23.14,7
1159,23.16,10
1160,23.18,6
1161,23.2,7
1162,23.22,5
1163,23.24,4
1164,23.26,6
1165,23.28,7
1166,23.3,9
1167,23.32,5
1168,23.34,5
1169,23.36,9
1170,23.38,5
1171,23.4,10
1172,23.42,6
1173,23.44,9
1174,23.46,6
1175,23.48,3
1176,23.5,6
1177,23.52,5
1178,23.54,4
1179,23.56,6
1180,23.58,7
