Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Heads.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:53:55 AM
TotalElapsedTimeInSeconds,32
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
713,14.24,4
714,14.26,8
715,14.28,5
716,14.3,11
717,14.32,7
718,14.34,10
719,14.36,4
720,14.38,4
721,14.4,7
722,14.42,5
723,14.44,10
724,14.46,12
725,14.48,5
726,14.5,5
727,14.52,15
728,14.54,12
729,14.56,14
730,14.58,14
731,14.6,21
732,14.62,21
733,14.64,32
734,14.66,27
735,14.68,26
736,14.7,31
737,14.72,31
738,14.74,36
739,14.76,34
740,14.78,35
741,14.8,40
742,14.82,31
743,14.84,34
744,14.86,22
745,14.88,25
746,14.9,16
747,14.92,31
748,14.94,18
749,14.96,12
750,14.98,20
751,15,17
752,15.02,23
753,15.04,14
754,15.06,9
755,15.08,18
756,15.1,20
757,15.12,12
758,15.14,16
759,15.16,15
760,15.18,17
761,15.2,22
762,15.22,18
763,15.24,7
764,15.26,15
765,15.28,10
766,15.3,9
767,15.32,9
768,15.34,12
769,15.36,8
770,15.38,11
771,15.4,7
772,15.42,10
773,15.44,7
774,15.46,9
775,15.48,10
776,15.5,9
777,15.52,4
778,15.54,8
779,15.56,8
780,15.58,9
781,15.6,6
782,15.62,11
783,15.64,9
784,15.66,8
785,15.68,6
786,15.7,7
787,15.72,7
788,15.74,4
789,15.76,7
790,15.78,20
791,15.8,15
792,15.82,10
793,15.84,15
794,15.86,15
795,15.88,24
796,15.9,28
797,15.92,30
798,15.94,43
799,15.96,53
800,15.98,67
801,16,54
802,16.02,74
803,16.04,70
804,16.06,85
805,16.08,72
806,16.1,89
807,16.12,82
808,16.14,66
809,16.16,66
810,16.18,53
811,16.2,48
812,16.22,33
813,16.24,36
814,16.26,26
815,16.28,22
816,16.3,18
817,16.32,17
818,16.34,15
819,16.36,12
820,16.38,6
821,16.4,10
822,16.42,9
823,16.44,6
824,16.46,7
825,16.48,12
826,16.5,8
827,16.52,3
828,16.54,8
829,16.56,6
830,16.58,6
831,16.6,13
832,16.62,8
833,16.64,8
834,16.66,8
835,16.68,16
836,16.7,12
837,16.72,12
838,16.74,16
839,16.76,8
840,16.78,13
841,16.8,22
842,16.82,21
843,16.84,24
844,16.86,22
845,16.88,30
846,16.9,24
847,16.92,34
848,16.94,36
849,16.96,25
850,16.98,33
851,17,38
852,17.02,20
853,17.04,27
854,17.06,29
855,17.08,19
856,17.1,19
857,17.12,13
858,17.14,9
859,17.16,13
860,17.18,11
861,17.2,9
862,17.22,11
863,17.24,11
864,17.26,2
865,17.28,5
866,17.3,8
867,17.32,7
868,17.34,6
869,17.36,8
870,17.38,5
871,17.4,11
872,17.42,4
873,17.44,8
874,17.46,7
875,17.48,6
876,17.5,9
877,17.52,5
878,17.54,7
879,17.56,6
880,17.58,9
881,17.6,9
882,17.62,12
883,17.64,8
884,17.66,2
885,17.68,7
886,17.7,6
887,17.72,7
888,17.74,12
889,17.76,7
890,17.78,6
891,17.8,8
892,17.82,5
893,17.84,4
894,17.86,12
895,17.88,5
896,17.9,14
897,17.92,11
898,17.94,5
899,17.96,8
900,17.98,8
901,18,7
902,18.02,11
903,18.04,5
904,18.06,11
905,18.08,7
906,18.1,10
907,18.12,8
908,18.14,13
909,18.16,10
910,18.18,9
911,18.2,11
912,18.22,4
913,18.24,10
914,18.26,5
915,18.28,7
916,18.3,9
917,18.32,6
918,18.34,11
919,18.36,5
920,18.38,14
921,18.4,17
922,18.42,10
923,18.44,10
924,18.46,13
925,18.48,17
926,18.5,4
927,18.52,19
928,18.54,11
929,18.56,8
